NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"CHAGYL, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,0,3,,,,,,4,1.1428571428571428,1.3695286195286196
"CHESHME, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,6,0,,,,,,0,1.0,1.2254290171606865
"KARAKUL, TI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,3,0,1,0,0,0.4166666666666667,0.48056338028169016
"KHOROG, TI",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,1,1,0,0,0,0,4,0,0,1,0.6666666666666666,0.728421052631579
"TAGTABAZAR, TX",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,3,3,,,,,,,1.3333333333333333,1.431244153414406
"PRINCE MOHAMMAD BIN ABDULAZIZ, SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,2,0,0,0,,0,0,0,,0.2,0.3755186721991701
"KING SALMAN AB, SA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,0,0,0,,0,1,4,,0.8,1.1312968917470525
"GALUUT, MG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,5,2,1,,,,,,8,3.0,4.084685956245589
"HUJIRT, MG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,4,1,1,,,,,,1,1.4285714285714286,1.8913793103448275
"NYUTABARU, JA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,18,24,32,,,,,,,,,21.75,22.81230769230769
"TAKHLI, TH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,11,40,46,0,,,,,,14.142857142857142,28.27417840375587
"RANONG, TH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,4,30,52,51,18,46,,,,,25.25,38.956906729634
"NOIBAI INTERNATIONAL, VM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,36,49,49,64,54,,,,,,36.285714285714285,50.15920716112532
"PLEIKU, VM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,21,24,28,52,50,47,54,49,47,34,58,38.916666666666664,42.168276563294356
"MAN ZHOU LI, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0,12,2,,,,,,,2.8,6.366782006920415
"YINING, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,26,20,14,19,15,24,,,,,,17.0,18.5080469769465
"NARAN BULAG, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,,1,18,20,,,,,,,9.4,14.724284199363733
"MANDAL, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,0,9,21,,,,,,,7.0,11.813104189044038
"LUSHUIHE, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,,,,,,,,,,6.0,6.0
"HEZUO, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,14,47,41,29,44,60,,,,,,39.0,41.47282608695652
"ZHUMADIAN, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24,18,22,24,38,25,,,,,,21.571428571428573,24.780729401170642
"GANYU, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,33,31,31,34,31,46,,,,,,30.0,32.799739921976595
"SHENGSI, CH",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,16,19,15,18,24,16,,,,,,15.428571428571429,17.26327336551119
"CHEIKH LARBI TEBESSI, AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,0.0
"SIDI MAHDI, AG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,2,,,,,,,,,,1.0,0.48484848484848486
"EL ARISH AGRIMET, EG",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,2,2,5,2,,,,1.375,1.5446859903381642
"MOMBO, TZ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,0.0,0.0
"INUVIK MIKE ZUBKO, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,4,1,1,0,0,0,,,0.7,0.8807275271073802
"TUKTOYAKTUK, NT CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"CLINTON SHERMAN, OK US",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,43,43,51,53,54,37,63,35,53,44,41,43.416666666666664,45.60918984280532
"RONGELAP, RM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0.0,0.0
"WOTHO, RM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1.0,1.0
"CHANGGAI GAP, KS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,8,13,2,15,3,9,17,9,8,7.083333333333333,7.225829553592743
"LE LAMENTIN, MB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,1,2,6,0,,,,,,,2.0,2.770171149144254
"OLAYA HERRERA, CO",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,31,29,61,60,134,97,133,39,30,35,34,60.583333333333336,65.22470398277719
"SAN JUAN DE MARCONA, PE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
"CONCEPCION, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,4.5,5.82648401826484
"SAN IGNACIO DE VELASCO AIRPORT, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,,,,,,,,,,,0.5,0.44
"CHARANA, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,3,5,3,,,,,,,,3.2,3.4745889387144993
"JUAN MENDOZA, BL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,3,,,,,,,,,,,1.5,1.5683168316831684
