NAME,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,AVERAGE,WEIGHTED_AVERAGE
"AMAL, SW",0,,,,,,,,,,0.0,0.0
"MALUNG, SW",14.0,8.0,10.0,3.0,5.0,13.0,10.0,5.0,7.0,10.0,8.5,8.500822368421053
"GUSTAVSFORS, SW",8.0,6.0,11.0,3.0,8.0,14.0,6.0,7.0,11.0,12.0,8.6,8.602035203520352
"KARLSTAD, SW",9.0,7.0,9.0,8.0,11.0,7.0,11.0,9.0,12.0,8.0,9.1,9.111141678129298
"ATORP, SW",7.0,4.0,5.0,5.0,9.0,8.0,3.0,4.0,5.0,5.0,5.5,5.4862204724409445
"OREBRO EKEBY DEAD, SW",13,5,11,,,,,,,,9.666666666666666,9.4796573875803
"FOLKARNA, SW",17.0,5.0,17.0,10.0,6.0,10.0,10.0,8.0,13.0,6.0,10.2,10.200109649122806
"VASTERAS, SW",6.0,2.0,10.0,3.0,7.0,5.0,9.0,8.0,19.0,13.0,8.2,8.332958696262995
"UPPSALA, SW",11.0,5.0,12.0,4.0,7.0,11.0,13.0,6.0,9.0,2.0,8.0,8.0049369171695
"ARLANDA, SW",15.0,5.0,16.0,11.0,13.0,11.0,14.0,14.0,13.0,12.0,12.4,12.401040240897892
"BROMMA, SW",11.0,9.0,15.0,8.0,15.0,10.0,18.0,16.0,15.0,5.0,12.2,12.21149614961496
"SINGO ISLAND, SW",5.0,3.0,14.0,3.0,10.0,4.0,10.0,8.0,11.0,4.0,7.2,7.2019731433269385
"SVENSKA HOGARNA, SW",6.0,3.0,13.0,5.0,2.0,2.0,6.0,1.0,4.0,2.0,4.4,4.39967150287435
"SVARTEBORG, SW",14,8,5,5,8,7,1,,,,6.857142857142857,7.569809610154125
"MASESKAR LGT H, SW",8.0,3.0,1.0,5.0,5.0,2.0,4.0,1.0,10.0,2.0,4.1,4.11317100166021
"SAVE, SW",16.0,6.0,8.0,6.0,12.0,6.0,7.0,6.0,11.0,3.0,8.1,8.102465753424658
"SATENAS, SW",18.0,4.0,1.0,9.0,8.0,6.0,8.0,4.0,11.0,8.0,7.7,7.703805091705448
"MOLLA, SW",21.0,11.0,7.0,10.0,12.0,12.0,9.0,7.0,19.0,8.0,11.6,11.648618476137315
"LANDVETTER, SW",24.0,12.0,15.0,18.0,19.0,21.0,16.0,12.0,17.0,15.0,16.9,16.90254585272379
"NASHUVUD, SW",11.0,5.0,7.0,9.0,11.0,10.0,7.0,7.0,19.0,13.0,9.9,9.984
"SNAVLUNDA, SW",3,2,5,2,,,,,,,3.0,3.0487551867219915
"KARLSBORG, SW",12.0,6.0,6.0,10.0,8.0,3.0,4.0,4.0,6.0,3.0,6.2,6.202025732274842
"JONKOPING, SW",15.0,15.0,12.0,10.0,19.0,17.0,6.0,12.0,15.0,14.0,13.5,13.489835164835165
"NASSJO, SW",3.0,6.0,8.0,4.0,4.0,7.0,2.0,3.0,5.0,5.0,4.7,4.725934314835787
"HAGSHULT, SW",19.0,9.0,11.0,9.0,4.0,6.0,6.0,9.0,17.0,13.0,10.3,10.519384264538198
"MALMEN, SW",9.0,3.0,10.0,12.0,11.0,9.0,6.0,4.0,2.0,6.0,7.2,7.192996967190515
"MALEXANDER, SW",10.0,4.0,7.0,4.0,8.0,10.0,5.0,2.0,4.0,5.0,5.9,5.900547708273278
"MALILLA, SW",12.0,10.0,10.0,8.0,14.0,10.0,6.0,8.0,16.0,4.0,9.8,9.80641623251988
"ALLGUNNEN, SW",0,,,,,,,,,,0.0,0.0
"NORRKOPING BRAVALLA, SW",7.0,7.0,4.0,14.0,14.0,9.0,6.0,2.0,3.0,7.0,7.3,7.300574869969887
"KUNGSANGEN, SW",13.0,5.0,15.0,13.0,12.0,17.0,9.0,10.0,12.0,15.0,12.1,12.074331848552339
"GLADHAMMAR, SW",7.0,5.0,11.0,10.0,12.0,8.0,9.0,5.0,21.0,5.0,9.3,9.298870056497176
"LANDSORT LGT H, SW",5.0,5.0,5.0,3.0,4.0,3.0,1.0,2.0,4.0,2.0,3.4,3.4013698630136986
"GOTSKA SANDON, SW",4.0,6.0,9.0,5.0,3.0,2.0,6.0,2.0,7.0,5.0,4.9,4.899808376676704
"HARSTENA, SW",6.0,2.0,7.0,3.0,8.0,6.0,5.0,6.0,9.0,6.0,5.8,5.801532986586367
"FARO ISLAND, SW",9.0,10.0,7.0,5.0,5.0,8.0,4.0,3.0,10.0,5.0,6.6,6.602191780821918
"VISBY, SW",15.0,11.0,9.0,7.0,19.0,12.0,7.0,3.0,10.0,9.0,10.2,10.195269526952695
"OLANDS NORRA UDDE, SW",7.0,6.0,9.0,12.0,10.0,10.0,7.0,6.0,15.0,8.0,9.0,8.977172717271728
"KULLEN LGT H, SW",15.0,8.0,8.0,3.0,5.0,9.0,6.0,6.0,15.0,6.0,8.1,8.105479452054794
"ANGELHOLM BARKAKRA, SW",14.0,10.0,12.0,8.0,5.0,14.0,11.0,4.0,17.0,9.0,10.4,10.401423877327492
"FALSTERBO, SW",2.0,9.0,11.0,8.0,9.0,9.0,11.0,5.0,14.0,8.0,8.6,8.606143719144267
"LJUNGBY, SW",7.0,9.0,1.0,10.0,11.0,6.0,6.0,4.0,14.0,6.0,7.4,7.411529680365297
"MARKARYD, SW",14,5,15,11,10,9,6,3,,,9.125,9.484329293773506
"OSBY, SW",14.0,11.0,10.0,14.0,17.0,10.0,4.0,6.0,15.0,10.0,11.1,11.164914222468179
"LJUNGBYHED SWE AFB, SW",14.0,6.0,9.0,7.0,4.0,5.0,7.0,3.0,12.0,9.0,7.6,7.600493556347683
"STURUP, SW",17.0,16.0,17.0,15.0,21.0,15.0,12.0,10.0,12.0,10.0,14.5,14.501779359430605
"SMYGEHUK LGT H, SW",5,6,8,5,11,1,1,0,1,,4.222222222222222,4.625781792911744
"YSTAD AND, SW",7,6,6,3,,,,,,,5.5,5.75611681136543
"VAXJO URASA SAFB, SW",8.0,5.0,5.0,7.0,8.0,4.0,2.0,3.0,7.0,6.0,5.5,5.534733893557423
"HANO ISLAND LGT H, SW",5.0,2.0,5.0,1.0,7.0,6.0,2.0,6.0,11.0,2.0,4.7,4.702436353681906
